X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
66,7595,3185,2205,35,2,1,4,1144,1486
66,7595,3185,2205,35,3,1,4,1142,1467
66,7595,3185,2205,35,4,1,4,1133,15
66,7595,3185,2205,35,5,1,4,1143,1483
64,784,343,2205,35,2,1,4,154,1924
64,784,343,2205,35,3,1,4,1519,1925
64,784,343,2205,35,4,1,4,1532,1942
64,784,343,2205,35,5,1,4,1516,1948
62,8085,3675,2205,35,2,1,4,1285,1437
62,8085,3675,2205,35,3,1,4,1304,1434
62,8085,3675,2205,35,4,1,4,13,1428
62,8085,3675,2205,35,5,1,4,13,1447
98,5145,294,11025,7,2,1,5,2435,2564
98,5145,294,11025,7,3,1,5,2433,2598
98,5145,294,11025,7,4,1,5,2403,2588
98,5145,294,11025,7,5,1,5,2426,2618
9,5635,3185,1225,7,2,1,5,2983,2982
9,5635,3185,1225,7,3,1,5,2908,2952
9,5635,3185,1225,7,4,1,5,2803,3445
9,5635,3185,1225,7,5,1,5,2902,3301
86,588,294,147,7,2,1,5,2703,2582
86,588,294,147,7,3,1,5,2645,2733
86,588,294,147,7,4,1,5,2536,3204
86,588,294,147,7,5,1,5,2645,3128
82,6125,3185,147,7,2,1,5,2437,2511
82,6125,3185,147,7,3,1,5,2389,2477
82,6125,3185,147,7,4,1,5,2289,2888
82,6125,3185,147,7,5,1,5,2386,2769
79,637,343,147,7,2,1,5,3703,3499
79,637,343,147,7,3,1,5,3671,3418
79,637,343,147,7,4,1,5,3677,4314
79,637,343,147,7,5,1,5,3548,4126
76,6615,4165,1225,7,2,1,5,3231,3425
76,6615,4165,1225,7,3,1,5,3321,3435
76,6615,4165,1225,7,4,1,5,3246,3364
76,6615,4165,1225,7,5,1,5,3327,3388
74,686,245,2205,35,2,1,5,1047,1365
74,686,245,2205,35,3,1,5,1037,1344
74,686,245,2205,35,4,1,5,1034,1372
74,686,245,2205,35,5,1,5,1039,135
71,7105,2695,2205,35,2,1,5,1078,1418
71,7105,2695,2205,35,3,1,5,107,1375
71,7105,2695,2205,35,4,1,5,1067,1426
71,7105,2695,2205,35,5,1,5,1369,1389
69,735,294,2205,35,2,1,5,1121,1455
69,735,294,2205,35,3,1,5,1114,1428
69,735,294,2205,35,4,1,5,1111,1446
69,735,294,2205,35,5,1,5,1116,1439
66,7595,3185,2205,35,2,1,5,1138,1454
66,7595,3185,2205,35,3,1,5,1134,1481
66,7595,3185,2205,35,4,1,5,1122,1465
66,7595,3185,2205,35,5,1,5,1134,1487
64,784,343,2205,35,2,1,5,1516,1924
64,784,343,2205,35,3,1,5,1537,1918
64,784,343,2205,35,4,1,5,1512,1926
64,784,343,2205,35,5,1,5,1536,1929
62,8085,3675,2205,35,2,1,5,1259,1424
62,8085,3675,2205,35,3,1,5,1274,1397
62,8085,3675,2205,35,4,1,5,128,1399
62,8085,3675,2205,35,5,1,5,1262,1415
98,5145,294,11025,7,2,25,1,2815,2979
98,5145,294,11025,7,3,25,1,2815,2979
98,5145,294,11025,7,4,25,1,2837,2928
98,5145,294,11025,7,5,25,1,2841,2949
9,5635,3185,1225,7,2,25,1,3268,3612
9,5635,3185,1225,7,3,25,1,3348,3317
9,5635,3185,1225,7,4,25,1,3284,3271
9,5635,3185,1225,7,5,25,1,32,3758
86,588,294,147,7,2,25,1,2954,3398
86,588,294,147,7,3,25,1,3005,2861
86,588,294,147,7,4,25,1,296,3012
86,588,294,147,7,5,25,1,2866,3473
82,6125,3185,147,7,2,25,1,2684,3017
82,6125,3185,147,7,3,25,1,2727,2784
82,6125,3185,147,7,4,25,1,2697,2725
82,6125,3185,147,7,5,25,1,2619,3139
79,637,343,147,7,2,25,1,3867,438
79,637,343,147,7,3,25,1,4003,3781
79,637,343,147,7,4,25,1,3986,3685
79,637,343,147,7,5,25,1,3904,4552
76,6615,4165,1225,7,2,25,1,3696,3685
76,6615,4165,1225,7,3,25,1,3613,3758
76,6615,4165,1225,7,4,25,1,3691,3745
76,6615,4165,1225,7,5,25,1,3643,3662
74,686,245,2205,35,2,25,1,1243,1519
74,686,245,2205,35,3,25,1,125,155
74,686,245,2205,35,4,25,1,1241,1528
74,686,245,2205,35,5,25,1,1245,155
71,7105,2695,2205,35,2,25,1,1257,1542
71,7105,2695,2205,35,3,25,1,1265,1585
71,7105,2695,2205,35,4,25,1,1257,1544
71,7105,2695,2205,35,5,25,1,1263,1581
69,735,294,2205,35,2,25,1,1278,1521
69,735,294,2205,35,3,25,1,1293,1563
69,735,294,2205,35,4,25,1,1273,1548
69,735,294,2205,35,5,25,1,1272,1578
66,7595,3185,2205,35,2,25,1,1317,1639
66,7595,3185,2205,35,3,25,1,1318,1627
66,7595,3185,2205,35,4,25,1,1317,1639
66,7595,3185,2205,35,5,25,1,1318,1619
64,784,343,2205,35,2,25,1,175,2113
64,784,343,2205,35,3,25,1,1735,2119
64,784,343,2205,35,4,25,1,1752,2109
64,784,343,2205,35,5,25,1,1737,2108
62,8085,3675,2205,35,2,25,1,1509,1577
62,8085,3675,2205,35,3,25,1,1512,1595
62,8085,3675,2205,35,4,25,1,1508,1577
62,8085,3675,2205,35,5,25,1,1516,1576
98,5145,294,11025,7,2,25,2,2867,2962
98,5145,294,11025,7,3,25,2,2857,2969
98,5145,294,11025,7,4,25,2,2818,3018
98,5145,294,11025,7,5,25,2,286,3002
9,5635,3185,1225,7,2,25,2,3246,3556
9,5635,3185,1225,7,3,25,2,3327,3264
9,5635,3185,1225,7,4,25,2,3233,3277
9,5635,3185,1225,7,5,25,2,3166,3772
86,588,294,147,7,2,25,2,2934,3337
86,588,294,147,7,3,25,2,2987,2789
86,588,294,147,7,4,25,2,2927,299
86,588,294,147,7,5,25,2,284,3452
82,6125,3185,147,7,2,25,2,2574,2827
82,6125,3185,147,7,3,25,2,2598,2696
82,6125,3185,147,7,4,25,2,2538,2672
82,6125,3185,147,7,5,25,2,2494,2988
79,637,343,147,7,2,25,2,3857,4386
79,637,343,147,7,3,25,2,4019,3741
79,637,343,147,7,4,25,2,3997,3677
79,637,343,147,7,5,25,2,3898,4597
76,6615,4165,1225,7,2,25,2,3695,3687
76,6615,4165,1225,7,3,25,2,3628,3735
76,6615,4165,1225,7,4,25,2,3686,3728
76,6615,4165,1225,7,5,25,2,3645,3681
74,686,245,2205,35,2,25,2,1235,1473
74,686,245,2205,35,3,25,2,1245,151
74,686,245,2205,35,4,25,2,1216,1518
74,686,245,2205,35,5,25,2,123,1544
71,7105,2695,2205,35,2,25,2,1233,1491
71,7105,2695,2205,35,3,25,2,1229,154
71,7105,2695,2205,35,4,25,2,122,1494
71,7105,2695,2205,35,5,25,2,1249,1532
69,735,294,2205,35,2,25,2,1285,1552
69,735,294,2205,35,3,25,2,1287,1585
69,735,294,2205,35,4,25,2,1273,1566
69,735,294,2205,35,5,25,2,1295,1599
66,7595,3185,2205,35,2,25,2,1305,1589
66,7595,3185,2205,35,3,25,2,1293,1585
66,7595,3185,2205,35,4,25,2,1277,1622
66,7595,3185,2205,35,5,25,2,13,1587
64,784,343,2205,35,2,25,2,1714,2047
64,784,343,2205,35,3,25,2,1684,2056
64,784,343,2205,35,4,25,2,1702,2048
64,784,343,2205,35,5,25,2,1711,2043
62,8085,3675,2205,35,2,25,2,1434,1532
62,8085,3675,2205,35,3,25,2,1466,1564
62,8085,3675,2205,35,4,25,2,146,1514
62,8085,3675,2205,35,5,25,2,146,153
98,5145,294,11025,7,2,25,3,2867,2943
98,5145,294,11025,7,3,25,3,2856,2978
98,5145,294,11025,7,4,25,3,2817,301
98,5145,294,11025,7,5,25,3,2863,3019
9,5635,3185,1225,7,2,25,3,3163,3635
9,5635,3185,1225,7,3,25,3,324,351
9,5635,3185,1225,7,4,25,3,3268,3283
9,5635,3185,1225,7,5,25,3,3229,3246
86,588,294,147,7,2,25,3,284,3352
86,588,294,147,7,3,25,3,294,3293
86,588,294,147,7,4,25,3,2943,2838
86,588,294,147,7,5,25,3,2907,2982
82,6125,3185,147,7,2,25,3,247,2877
82,6125,3185,147,7,3,25,3,2548,2776
82,6125,3185,147,7,4,25,3,2537,2695
82,6125,3185,147,7,5,25,3,2517,2641
79,637,343,147,7,2,25,3,3904,4513
79,637,343,147,7,3,25,3,3835,4366
79,637,343,147,7,4,25,3,3981,3776
79,637,343,147,7,5,25,3,3983,3687
76,6615,4165,1225,7,2,25,3,3599,3607
76,6615,4165,1225,7,3,25,3,3659,3644
76,6615,4165,1225,7,4,25,3,3564,3728
76,6615,4165,1225,7,5,25,3,3652,3729
74,686,245,2205,35,2,25,3,118,1449
74,686,245,2205,35,3,25,3,1203,1379
74,686,245,2205,35,4,25,3,1198,1472
74,686,245,2205,35,5,25,3,1169,1476
71,7105,2695,2205,35,2,25,3,1241,1492
71,7105,2695,2205,35,3,25,3,1228,1474
71,7105,2695,2205,35,4,25,3,121,1557
71,7105,2695,2205,35,5,25,3,1219,1494
69,735,294,2205,35,2,25,3,1234,1492
69,735,294,2205,35,3,25,3,1246,1438
69,735,294,2205,35,4,25,3,1231,1544
69,735,294,2205,35,5,25,3,1212,1517
66,7595,3185,2205,35,2,25,3,1297,1553
66,7595,3185,2205,35,3,25,3,1301,158
66,7595,3185,2205,35,4,25,3,1274,1614
66,7595,3185,2205,35,5,25,3,1284,1626
64,784,343,2205,35,2,25,3,1683,1987
64,784,343,2205,35,3,25,3,1693,2003
64,784,343,2205,35,4,25,3,1666,2046
64,784,343,2205,35,5,25,3,1686,2028
62,8085,3675,2205,35,2,25,3,1391,1489
62,8085,3675,2205,35,3,25,3,1434,1496
62,8085,3675,2205,35,4,25,3,1395,1489
62,8085,3675,2205,35,5,25,3,1399,1435
98,5145,294,11025,7,2,25,4,287,2961
98,5145,294,11025,7,3,25,4,2855,2959
98,5145,294,11025,7,4,25,4,2815,3019
98,5145,294,11025,7,5,25,4,2862,3012
9,5635,3185,1225,7,2,25,4,3267,3212
9,5635,3185,1225,7,3,25,4,3169,3712
9,5635,3185,1225,7,4,25,4,3207,3616
9,5635,3185,1225,7,5,25,4,3328,3316
86,588,294,147,7,2,25,4,2947,2945
86,588,294,147,7,3,25,4,2842,3419
86,588,294,147,7,4,25,4,2908,3393
86,588,294,147,7,5,25,4,2988,2831
82,6125,3185,147,7,2,25,4,2566,263
82,6125,3185,147,7,3,25,4,2496,2943
82,6125,3185,147,7,4,25,4,2543,2876
82,6125,3185,147,7,5,25,4,26,2734
79,637,343,147,7,2,25,4,40,3626
79,637,343,147,7,3,25,4,3884,4548
79,637,343,147,7,4,25,4,3833,4416
79,637,343,147,7,5,25,4,4012,3726
76,6615,4165,1225,7,2,25,4,3695,372
76,6615,4165,1225,7,3,25,4,3645,3676
76,6615,4165,1225,7,4,25,4,3681,3705
76,6615,4165,1225,7,5,25,4,3626,3751
74,686,245,2205,35,2,25,4,1232,1492
74,686,245,2205,35,3,25,4,123,1524
74,686,245,2205,35,4,25,4,1218,1503
74,686,245,2205,35,5,25,4,1243,1535
71,7105,2695,2205,35,2,25,4,1236,1467
71,7105,2695,2205,35,3,25,4,1249,1509
71,7105,2695,2205,35,4,25,4,1217,152
71,7105,2695,2205,35,5,25,4,1228,1564
69,735,294,2205,35,2,25,4,1291,1537
69,735,294,2205,35,3,25,4,1295,1573
69,735,294,2205,35,4,25,4,1267,1583
69,735,294,2205,35,5,25,4,1286,1613
66,7595,3185,2205,35,2,25,4,1295,1595
66,7595,3185,2205,35,3,25,4,13,1559
66,7595,3185,2205,35,4,25,4,1286,1617
66,7595,3185,2205,35,5,25,4,1292,1614
64,784,343,2205,35,2,25,4,1699,1965
64,784,343,2205,35,3,25,4,1669,1976
64,784,343,2205,35,4,25,4,1656,2037
64,784,343,2205,35,5,25,4,1662,199
62,8085,3675,2205,35,2,25,4,1433,1541
62,8085,3675,2205,35,3,25,4,1461,1556
62,8085,3675,2205,35,4,25,4,1461,1507
62,8085,3675,2205,35,5,25,4,1465,1538
98,5145,294,11025,7,2,25,5,2869,2953
98,5145,294,11025,7,3,25,5,2858,2977
98,5145,294,11025,7,4,25,5,2815,30
98,5145,294,11025,7,5,25,5,2861,302
9,5635,3185,1225,7,2,25,5,3313,3225
9,5635,3185,1225,7,3,25,5,3231,32
9,5635,3185,1225,7,4,25,5,3153,3719
9,5635,3185,1225,7,5,25,5,3246,3562
86,588,294,147,7,2,25,5,2971,2802
86,588,294,147,7,3,25,5,2909,2943
86,588,294,147,7,4,25,5,2831,3415
86,588,294,147,7,5,25,5,2939,3347
82,6125,3185,147,7,2,25,5,257,2653
82,6125,3185,147,7,3,25,5,2517,2608
82,6125,3185,147,7,4,25,5,246,2931
82,6125,3185,147,7,5,25,5,2549,2814
79,637,343,147,7,2,25,5,3989,3754
79,637,343,147,7,3,25,5,3983,3666
79,637,343,147,7,4,25,5,3901,4528
79,637,343,147,7,5,25,5,3865,4373
76,6615,4165,1225,7,2,25,5,3569,3693
76,6615,4165,1225,7,3,25,5,3664,3701
76,6615,4165,1225,7,4,25,5,3606,3573
76,6615,4165,1225,7,5,25,5,367,3615
74,686,245,2205,35,2,25,5,1212,1448
74,686,245,2205,35,3,25,5,1167,1458
74,686,245,2205,35,4,25,5,1164,1481
74,686,245,2205,35,5,25,5,1202,1403
71,7105,2695,2205,35,2,25,5,1227,1527
71,7105,2695,2205,35,3,25,5,1219,1471
71,7105,2695,2205,35,4,25,5,1225,1523
71,7105,2695,2205,35,5,25,5,1227,1497
69,735,294,2205,35,2,25,5,1247,1514
69,735,294,2205,35,3,25,5,1212,1497
69,735,294,2205,35,4,25,5,1218,1522
69,735,294,2205,35,5,25,5,1247,146
66,7595,3185,2205,35,2,25,5,1293,1583
66,7595,3185,2205,35,3,25,5,1282,1603
66,7595,3185,2205,35,4,25,5,1278,158
66,7595,3185,2205,35,5,25,5,1302,1606
64,784,343,2205,35,2,25,5,1673,2013
64,784,343,2205,35,3,25,5,1686,2001
64,784,343,2205,35,4,25,5,1676,2019
64,784,343,2205,35,5,25,5,1692,2029
62,8085,3675,2205,35,2,25,5,1368,1519
62,8085,3675,2205,35,3,25,5,1399,1461
62,8085,3675,2205,35,4,25,5,1416,1461
62,8085,3675,2205,35,5,25,5,1386,1475
98,5145,294,11025,7,2,4,1,3226,3337
98,5145,294,11025,7,3,4,1,3226,3334
98,5145,294,11025,7,4,4,1,3249,3283
98,5145,294,11025,7,5,4,1,3253,3304
9,5635,3185,1225,7,2,4,1,3647,3928
9,5635,3185,1225,7,3,4,1,3724,3638
9,5635,3185,1225,7,4,4,1,3666,3592
9,5635,3185,1225,7,5,4,1,3596,4099
86,588,294,147,7,2,4,1,3189,3599
86,588,294,147,7,3,4,1,3239,3066
86,588,294,147,7,4,4,1,3209,317
86,588,294,147,7,5,4,1,3129,3673
82,6125,3185,147,7,2,4,1,2922,3171
82,6125,3185,147,7,3,4,1,2991,2913
82,6125,3185,147,7,4,4,1,2953,2899
82,6125,3185,147,7,5,4,1,2865,3354
79,637,343,147,7,2,4,1,414,4529
79,637,343,147,7,3,4,1,4262,3907
79,637,343,147,7,4,4,1,425,3835
79,637,343,147,7,5,4,1,4167,4694
76,6615,4165,1225,7,2,4,1,4078,3955
76,6615,4165,1225,7,3,4,1,3997,4085
76,6615,4165,1225,7,4,4,1,4071,4063
76,6615,4165,1225,7,5,4,1,4043,3948
74,686,245,2205,35,2,4,1,1452,1694
74,686,245,2205,35,3,4,1,1461,1725
74,686,245,2205,35,4,4,1,145,1703
74,686,245,2205,35,5,4,1,1455,1725
71,7105,2695,2205,35,2,4,1,1451,171
71,7105,2695,2205,35,3,4,1,146,1751
71,7105,2695,2205,35,4,4,1,145,1712
71,7105,2695,2205,35,5,4,1,1458,1747
69,735,294,2205,35,2,4,1,1451,165
69,735,294,2205,35,3,4,1,147,17
69,735,294,2205,35,4,4,1,1442,1687
69,735,294,2205,35,5,4,1,1442,172
66,7595,3185,2205,35,2,4,1,1523,1814
66,7595,3185,2205,35,3,4,1,1523,1803
66,7595,3185,2205,35,4,4,1,1523,1814
66,7595,3185,2205,35,5,4,1,1523,1795
64,784,343,2205,35,2,4,1,1952,2272
64,784,343,2205,35,3,4,1,1936,2273
64,784,343,2205,35,4,4,1,1948,2272
64,784,343,2205,35,5,4,1,1942,2253
62,8085,3675,2205,35,2,4,1,1509,172
62,8085,3675,2205,35,3,4,1,1717,1721
62,8085,3675,2205,35,4,4,1,1714,1715
62,8085,3675,2205,35,5,4,1,1714,172
98,5145,294,11025,7,2,4,2,3282,3296
98,5145,294,11025,7,3,4,2,3271,3313
98,5145,294,11025,7,4,4,2,3224,3394
98,5145,294,11025,7,5,4,2,3272,3378
9,5635,3185,1225,7,2,4,2,3584,3835
9,5635,3185,1225,7,3,4,2,3657,3539
9,5635,3185,1225,7,4,4,2,3606,3494
9,5635,3185,1225,7,5,4,2,3569,4066
86,588,294,147,7,2,4,2,3248,3548
86,588,294,147,7,3,4,2,3274,3053
86,588,294,147,7,4,4,2,3213,3228
86,588,294,147,7,5,4,2,3164,3686
82,6125,3185,147,7,2,4,2,2895,3034
82,6125,3185,147,7,3,4,2,2949,2793
